name,platform,year_of_release,gendre,publisher,developer,rating
DemiKids: Dark Version,GBA,2002,Role-Playing,Atlus,,
Blender Bros.,GBA,2002,Platform,Unknown,AI,E
DemiKids: Light Version,GBA,2002,Role-Playing,Atlus,Multimedia Intelligence Transfer,E
Shaman King: Chou Senjiryokketsu 3,GBA,2002,Role-Playing,King Records,,
Toxic Grind,XB,2002,Sports,THQ,Blue Shift,T
Jitsumei Jikkyou Keiba Dream Classic 2002,PS2,2002,Sports,Namco Bandai Games,,
Tokyo Mew Mew,PS,2002,Role-Playing,Takara,,
RedCard 20-03,GC,2002,Sports,Midway Games,Point of View,E
Evolution Snowboarding,PS2,2002,Sports,Konami Digital Entertainment,Konami,T
Natsuiro no Sunadokei,PS2,2002,Adventure,Princess Soft,,
Whiteout,PS2,2002,Racing,Konami Digital Entertainment,Vicarious Visions,T
Casper: Spirit Dimensions,GC,2002,Platform,TDK Mediactive,Lucky Chicken,E
Butt-Ugly Martians: Zoom or Doom!,PS2,2002,Racing,Vivendi Games,,
Maximum Capacity: Hotel Giant,PC,2002,Strategy,JoWood Productions,JoWooD Entertainment AG,T
Kikou Heidan J-Phoenix: Cobalt Shoutaihen,PS2,2002,Action,Takara,,
Disney Sports Football,GBA,2002,Sports,Unknown,Konami,E
Largo Winch .// Commando Sar,PS,2002,Adventure,Ubisoft,,
ESPN MLS ExtraTime 2002,GC,2002,Sports,Konami Digital Entertainment,KCEA,E
Virtual Kasparov,GBA,2002,Strategy,Titus,Titus Software,E
ESPN MLS ExtraTime 2002,XB,2002,Sports,Konami Digital Entertainment,KCEA,E
The Mummy,GBA,2002,Action,Ubisoft,Ubisoft Milan,E
ESPN NFL Primetime 2002,XB,2002,Sports,Konami Digital Entertainment,Farsight Technologies,E
Tsuki no Hikari: Shizumeru Kane no Satsujin,PS2,2002,Adventure,Victor Interactive,,
Kong: The Animated Series,GBA,2002,Action,BAM! Entertainment,Planet Interactive,E
NHL 2K3,GC,2002,Sports,Sega,Treyarch,E
Space Channel 5: Ulala's Cosmic Attack,GBA,2002,Misc,Atari,Art,E
Disney Sports Basketball,GBA,2002,Sports,Konami Digital Entertainment,Konami,E
Disney Sports Football,GC,2002,Sports,Konami Digital Entertainment,KCEO,E
Gadget Racers (PAL),PS2,2002,Racing,Zoo Digital Publishing,,
Combat Flight Simulator 3: Battle for Europe,PC,2002,Simulation,Microsoft Game Studios,Microsoft Game Studios,E
Roommate Asami: Okusama wa Joshikousei,PS2,2002,Adventure,Datam Polystar,,
Big Bass Fishing,PS,2002,Action,Take-Two Interactive,Coresoft,E
WTA Tour Tennis,GBA,2002,Sports,Konami Digital Entertainment,Now Production,E
Davis Cup Tennis,GBA,2002,Sports,Ubisoft,Hokus Pokus,E
Pro Rally,GC,2002,Racing,Ubisoft,Ubisoft,E
Antz Extreme Racing,XB,2002,Racing,Empire Interactive,Supersonic Software,E
RollerCoaster Tycoon: Gold Edition,PC,2002,Strategy,Infogrames,Infogrames,E
Technic Beat,PS2,2002,Misc,Arika,Arika,E
Unreal Tournament 2003,PC,2002,Shooter,Atari,Digital Extremes,M
Egg Mania: Eggstreme Madness,XB,2002,Puzzle,Kemco,HotGen,E
Road Trip: Shifting Gears,GBA,2002,Racing,Zoo Digital Publishing,Takara,E
Impossible Creatures,PC,2002,Strategy,Microsoft Game Studios,Relic,T
WTA Tour Tennis,XB,2002,Sports,Konami Digital Entertainment,Konami,E
Rave Master: Special Attack Force!,GBA,2002,Fighting,Konami Digital Entertainment,KCEJ,T
Casper,GBA,2002,Adventure,Microids,,
Harry Potter and the Chamber of Secrets,PC,2002,Action,Electronic Arts,KnowWonder,E
Smuggler's Run,GBA,2002,Racing,Rebellion,Destination Software,E
Moto Racer Advance,GBA,2002,Racing,Ubisoft,Delphine Software International,E
RalliSport Challenge(JP sales),XB,2002,Racing,Microsoft Game Studios,,
Super Bubble Pop,XB,2002,Puzzle,Jaleco,Runecraft,E
Darkened Skye,GC,2002,Adventure,TDK Mediactive,Boston Animation,T
Command & Conquer Renegade,PC,2002,Shooter,Electronic Arts,,
ESPN NBA 2Night 2002,XB,2002,Sports,Konami Digital Entertainment,Konami,E
Icewind Dale II,PC,2002,Role-Playing,Interplay,Black Isle Studios,T
Egg Mania: Eggstreme Madness,GC,2002,Puzzle,Kemco,Kemco,E
Super Robot Taisen: Original Generation,GBA,2002,Role-Playing,Banpresto,Banpresto,T
Mortal Kombat: Deadly Alliance,GBA,2002,Fighting,Midway Games,Criterion Games,M
Woody Woodpecker in Crazy Castle 5,GBA,2002,Platform,Kemco,,
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,Rockstar North,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,,
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,EA LA,T
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,SquareSoft,E
Super Mario Sunshine,GC,2002,Platform,Nintendo,Nintendo,E
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,Stormfront Studios,T
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,Nintendo,E
Spider-Man: The Movie,PS2,2002,Action,Activision,Treyarch,E
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,EA Sports,E
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,Maxis,T
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,Neversoft Entertainment,T
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,Zipper Interactive,M
The Getaway,PS2,2002,Action,Sony Computer Entertainment,Team Soho,M
Tekken 4,PS2,2002,Fighting,Namco Bandai Games,Namco,T
FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,EA Canada,E
James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,Eurocom Entertainment Software,T
Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,,
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,Dimps Corporation,T
The Sims: Vacation,PC,2002,Simulation,Electronic Arts,Maxis,T
Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,Ubisoft Montreal,T
WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,,
World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,KCET,E
Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,Io Interactive,M
Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,,
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,Bethesda Softworks,T
WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ,,
Metroid Prime,GC,2002,Shooter,Nintendo,Retro Studios,T
The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,Capcom,E
Harry Potter and the Chamber of Secrets,PS2,2002,Action,Electronic Arts,Electronic Arts,E
Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,Midway Games,Midway,M
Mario Party 4,GC,2002,Misc,Nintendo,Hudson,E
Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo,HAL Labs,E
Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,Capcom,Capcom,M
ATV Offroad Fury 2,PS2,2002,Racing,THQ,Rainbow Studios,E
Need for Speed: Hot Pursuit 2,PS2,2002,Racing,Electronic Arts,Black Box,E
Project Gotham Racing (JP weekly sales),XB,2002,Action,Microsoft Game Studios,,
Scooby-Doo! Night of 100 Frights,PS2,2002,Platform,THQ,,
Tetris Worlds,PS2,2002,Puzzle,THQ,Blue Planet Software,E
Spec Ops: Airborne Commando,PS,2002,Shooter,Take-Two Interactive,,
Sonic Mega Collection,GC,2002,Misc,Infogrames,Sonic Team,E
Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,Eurocom Entertainment Software,E
Harry Potter and the Chamber of Secrets,PS,2002,Action,Electronic Arts,Argonaut Games,E
Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,Check Six Games,E
Tom Clancy's Ghost Recon,PS2,2002,Shooter,Ubisoft,Ubisoft,M
Star Fox Adventures,GC,2002,Adventure,Nintendo,Rare Ltd.,T
Virtua Fighter 4,PS2,2002,Fighting,Sega,Sega AM2,T
Sonic Advance 2,GBA,2002,Platform,Sega,Dimps Corporation,E
Tom Clancy's Ghost Recon,XB,2002,Shooter,Ubisoft,Red Storm Entertainment,M
State of Emergency,PS2,2002,Action,Take-Two Interactive,VIS Entertainment,M
Xenosaga Episode I: Der Wille zur Macht,PS2,2002,Role-Playing,Namco Bandai Games,Monolith Soft,T
Crash Bandicoot: The Huge Adventure,GBA,2002,Platform,Universal Interactive,Vicarious Visions,E
Dragon Ball Z: The Legacy of Goku,GBA,2002,Role-Playing,Infogrames,Webfoot Technologies,E
Metroid Fusion,GBA,2002,Action,Nintendo,Nintendo,E
NBA Live 2003,PS2,2002,Sports,Electronic Arts,EA Canada,E
Tiger Woods PGA Tour 2003,PS2,2002,Sports,Electronic Arts,EA Sports,E
Spyro 2: Season of Flame,GBA,2002,Platform,Vivendi Games,Digital Eclipse,E
Conflict: Desert Storm,PS2,2002,Shooter,Gotham Games,Pivotal Games,T
Stuntman,PS2,2002,Racing,Atari,Reflections Interactive,T
The Simpsons Skateboarding,PS2,2002,Sports,Electronic Arts,The Code Monkeys,T
Super Monkey Ball 2,GC,2002,Puzzle,Atari,Amusement Vision,E
Pac-Man World 2,PS2,2002,Action,Namco Bandai Games,Namco,E
Red Faction II,PS2,2002,Shooter,THQ,Volition Inc.,M
Medal of Honor: Frontline,XB,2002,Shooter,Electronic Arts,EA LA,T
NCAA Football 2003,PS2,2002,Sports,Electronic Arts,EA Sports,E
Cabela's Big Game Hunter,PS2,2002,Sports,Activision,Sand Grain Studios,T
Resident Evil (Remake),GC,2002,Action,Capcom,,
Spider-Man: The Movie,XB,2002,Action,Activision,Treyarch,E
Colin McRae Rally 3,PS2,2002,Racing,Codemasters,Codemasters,E
Dead to Rights,PS2,2002,Shooter,Electronic Arts,Namco,M
Test Drive,PS2,2002,Racing,Atari,Pitbull Syndicate,T
Spider-Man: The Movie,GBA,2002,Action,Activision,,
NFL 2K3,PS2,2002,Sports,Atari,Visual Concepts,E
IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,Bethesda Softworks,E
Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,Acclaim,M
Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,,
Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,Capcom,,
Resident Evil Zero,GC,2002,Action,Capcom,,
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,CyberConnect2,T
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,Chris Sawyer,E
Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,Traveller's Tales,E
Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,Camelot Software Planning,E
NBA 2K2,PS2,2002,Sports,Sega,Visual Concepts,E
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,Sucker Punch,E
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,Surreal Software,T
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,Vicarious Visions,E
Spider-Man: The Movie,GC,2002,Action,Activision,Treyarch,E
Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,Krome Studios,E
Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002,Role-Playing,Konami Digital Entertainment,,
MechAssault,XB,2002,Simulation,Microsoft Game Studios,Day 1 Studios,T
Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,LucasArts,T
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002,Platform,THQ,Big Sky Software,E
Fisherman's Bass Club,PS2,2002,Sports,Agetec,Vingt-et-un Systems,E
Disney's Lilo & Stitch,GBA,2002,Platform,Ubisoft,,
Freekstyle,PS2,2002,Racing,Electronic Arts,Page 44 Studios,E
Seek and Destroy,PS2,2002,Racing,Play It,Barnhouse Effect,T
NBA 2K3,PS2,2002,Sports,Sega,Visual Concepts,E
Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,Tecmo Koei,Omega Force,T
Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,Level 5,T
Shinobi,PS2,2002,Platform,Sony Computer Entertainment,Overworks,M
Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games,Midway,M
NHL 2003,PS2,2002,Sports,Electronic Arts,EA Sports,E
Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,Neversoft Entertainment,T
Street Hoops,PS2,2002,Sports,Activision,,
Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,Electronic Arts,T
Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,EA Sports,E
James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,Electronic Arts,T
Conflict: Desert Storm,XB,2002,Shooter,SCi,SCi,T
Triple Play 2002,PS2,2002,Sports,Electronic Arts,Pandemic Studios,E
Rocky,PS2,2002,Fighting,Rage Software,Rage Software,T
Burnout 2: Point of Impact,PS2,2002,Racing,Acclaim Entertainment,Criterion Games,E
Big Mutha Truckers,PS2,2002,Racing,Empire Interactive,Eutechnyx,T
James Bond 007: Nightfire,XB,2002,Shooter,Electronic Arts,Eurocom Entertainment Software,T
Need for Speed: Hot Pursuit 2,XB,2002,Racing,Electronic Arts,EA Seattle,E
Rocket Power: Beach Bandits,PS2,2002,Platform,THQ,Evolution Games,E
Need for Speed: Hot Pursuit 2,GC,2002,Racing,Electronic Arts,EA Seattle,E
Tales of Destiny 2,PS2,2002,Role-Playing,Namco Bandai Games,,
Secret Agent Barbie: Royal Jewels Mission,GBA,2002,Platform,Vivendi Games,Digital Illusions,E
James Bond 007: Nightfire,GC,2002,Shooter,Electronic Arts,Eurocom Entertainment Software,T
Star Wars Episode II: Attack of the Clones,GBA,2002,Action,THQ,David A. Palmer Productions,E
All-Star Baseball 2003,PS2,2002,Sports,Acclaim Entertainment,Acclaim Studios Austin,E
Unlimited Saga,PS2,2002,Role-Playing,Atari,SquareSoft,T
Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,2002,Misc,Namco Bandai Games,,
Marvel vs. Capcom 2: New Age of Heroes,PS2,2002,Fighting,Capcom,,
The Lord of the Rings: The Two Towers,GBA,2002,Action,Electronic Arts,,
Unreal Championship,XB,2002,Shooter,Atari,Digital Extremes,M
James Bond 007: Agent Under Fire,GC,2002,Shooter,Electronic Arts,Electronic Arts,T
Dead to Rights,XB,2002,Shooter,Electronic Arts,Namco,M
Super Monkey Ball Jr.,GBA,2002,Puzzle,Atari,Realism Ltd,E
The Lord of the Rings: The Two Towers,XB,2002,Action,Electronic Arts,Stormfront Studios,T
Madden NFL 2003,XB,2002,Sports,Electronic Arts,EA Tiburon,E
Super Trucks Racing,PS2,2002,Racing,Jester Interactive,Jester Interactive,E
Yu-Gi-Oh! The Falsebound Kingdom,GC,2002,Strategy,Konami Digital Entertainment,,
Spyro: Enter the Dragonfly,GC,2002,Platform,Universal Interactive,Equinoxe,E
TimeSplitters 2,PS2,2002,Shooter,Eidos Interactive,Free Radical Design,T
Harry Potter and the Chamber of Secrets,GC,2002,Action,Electronic Arts,Eurocom Entertainment Software,E
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,CyberConnect2,T
Armored Core 3,PS2,2002,Simulation,Metro 3D,From Software,T
NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,NuFX,E
Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,TOSE,E
Monster Jam: Maximum Destruction,PS2,2002,Racing,Ubisoft,Ubisoft,T
Super Robot Taisen Impact,PS2,2002,Strategy,Banpresto,,
TimeSplitters 2,XB,2002,Shooter,Eidos Interactive,Free Radical Design,T
Konami Collector's Series: Arcade Advanced,GBA,2002,Misc,Konami Digital Entertainment,KCEA,E
FIFA Soccer 2003,XB,2002,Sports,Electronic Arts,EA Canada,E
Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,SCE Japan Studio,E
Namco Museum,GC,2002,Misc,Namco Bandai Games,Mass Media,E
NFL Fever 2003,XB,2002,Sports,Microsoft Game Studios,Microsoft Game Studios,E
Robotech: Battlecry,PS2,2002,Shooter,TDK Mediactive,Vicious Cycle,T
Madden NFL 2003,GBA,2002,Sports,Electronic Arts,BudCat,E
Game & Watch Gallery 4,GBA,2002,Misc,Nintendo,,
From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,,
Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,Dreamworks Games,T
2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,EA Sports,E
Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,Universal Interactive,Traveller's Tales,E
Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,KCET,T
Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,Neversoft Entertainment,T
Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,Vicarious Visions,E
Jampack Summer 2002,PS2,2002,Misc,Sony Computer Entertainment,,
Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,Bunkasha Publishing,T
SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,,
RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,Digital Illusions,E
Backyard NFL Football,GBA,2002,Sports,Infogrames,,
Barbie Groovy Games,GBA,2002,Misc,Universal Interactive,Digital Illusions,E
Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,Artoon,E
WWF Raw,XB,2002,Fighting,THQ,Anchor,T
Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision,Neversoft Entertainment,T
Mega Man Zero,GBA,2002,Platform,Capcom,Inti,E
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sports,Sega,,
Turok: Evolution,XB,2002,Shooter,Acclaim Entertainment,Acclaim,M
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002,Role-Playing,Enix Corporation,,
The Lord of the Rings: The Fellowship of the Ring,XB,2002,Action,Universal Interactive,WXP,T
The Lord of the Rings: The Two Towers,GC,2002,Action,Electronic Arts,Stormfront Studios,T
Metal Gear Solid 2: Substance,PS2,2002,Action,Konami Digital Entertainment,KCEJ,M
NCAA Football 2003,XB,2002,Sports,Electronic Arts,EA Sports,E
Tony Hawk's Pro Skater 3,GBA,2002,Sports,Activision,Vicarious Visions,E
NFL 2K3,XB,2002,Sports,Sega,,
Jampack Winter 2002,PS2,2002,Misc,Sony Computer Entertainment,,
Way of the Samurai,PS2,2002,Action,Eidos Interactive,Acquire,M
HSX HyperSonic.Xtreme,PS2,2002,Racing,Midas Interactive Entertainment,Blade Interactive,E
Disney's Kim Possible: Revenge of Monkey Fist,GBA,2002,Platform,THQ,Digital Eclipse,E
Monopoly Party,PS2,2002,Misc,Infogrames,,
Activision Anthology,PS2,2002,Misc,Activision,Contraband Entertainment,E
Star Wars: Jedi Starfighter,PS2,2002,Simulation,Activision,LucasArts,T
Star Wars: Clone Wars,PS2,2002,Shooter,LucasArts,,
Men in Black II: Alien Escape,PS2,2002,Shooter,Infogrames,Melbourne House,T
WWE Wrestlemania X8,GC,2002,Fighting,THQ,Yuke's,T
Pac-Man World 2,XB,2002,Action,Namco Bandai Games,Namco,E
World of Outlaws: Sprint Cars 2002,PS2,2002,Racing,Ignition Entertainment,Ratbag,E
X-Men: Next Dimension,PS2,2002,Fighting,Activision,Paradox Development,T
Densetsu no Stafi,GBA,2002,Platform,Nintendo,,
Hot Wheels Velocity X,PS2,2002,Racing,THQ,Beyond Games,E
Mat Hoffman's Pro BMX 2,PS2,2002,Sports,Activision,Rainbow Studios,T
Dragon Ball Z: Collectible Card Game,GBA,2002,Misc,Infogrames,ImaginEngine,E
Rygar: The Legendary Adventure,PS2,2002,Action,Wanadoo,Tecmo,T
Stuart Little 2,GBA,2002,Platform,Activision,Creations,E
The Mark of Kri,PS2,2002,Action,Sony Computer Entertainment,SCEA,M
Momotarou Dentetsu 11,PS2,2002,Misc,Hudson Soft,,
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,CyberConnect2,T
Phantasy Star Online Episode I & II,GC,2002,Role-Playing,Infogrames,,
The Powerpuff Girls: Relish Rampage,PS2,2002,Action,BAM! Entertainment,VIS Entertainment,E
Sled Storm,PS2,2002,Racing,Electronic Arts,Electronic Arts,T
The Thing,PS2,2002,Adventure,Vivendi Games,Computer Artworks,M
Tiger Woods PGA Tour 2003,XB,2002,Sports,Electronic Arts,EA Sports,E
Jikkyou Powerful Pro Yakyuu 9,PS2,2002,Sports,Konami Digital Entertainment,,
TimeSplitters 2,GC,2002,Shooter,Eidos Interactive,Free Radical Design,T
Eternal Darkness: Sanity's Requiem,GC,2002,Adventure,Nintendo,Silicon Knights,M
NFL Blitz 20-03,PS2,2002,Sports,Midway Games,Point of View,E
Star Wars: Jedi Starfighter,XB,2002,Simulation,Activision,Secret Level,T
The Powerpuff Girls: Him and Seek,GBA,2002,Platform,BAM! Entertainment,,
Madden NFL 2003,GC,2002,Sports,Electronic Arts,EA Sports,E
Backyard Baseball,GBA,2002,Sports,Atari,,
NBA Street,GC,2002,Sports,Electronic Arts,EA Sports,E
Superman: Shadow of Apokolips,PS2,2002,Action,Atari,Atari,E
Test Drive,XB,2002,Racing,Atari,Pitbull Syndicate,T
BloodRayne,PS2,2002,Shooter,Universal Interactive,Terminal Reality,M
Jimmy Neutron: Boy Genius,PS2,2002,Platform,THQ,THQ,E
Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002,Adventure,Sony Computer Entertainment,,
The Terminator: Dawn of Fate,PS2,2002,Action,Atari,Paradigm Entertainment,T
Mortal Kombat: Deadly Alliance,GC,2002,Fighting,Midway Games,Midway,M
Minority Report: Everybody Runs,PS2,2002,Action,Activision,Treyarch,T
Defender,PS2,2002,Misc,Midway Games,7 Studios,T
Star Wars: Clone Wars,GC,2002,Shooter,Activision,,
Mobile Suit Gundam: Lost War Chronicles,PS2,2002,Shooter,Namco Bandai Games,,
The House of The Dead III,XB,2002,Shooter,Sega,Wow Entertainment,M
Fire Emblem: Fuuin no Tsurugi,GBA,2002,Role-Playing,Nintendo,,
Blood Omen 2,PS2,2002,Action,Eidos Interactive,Crystal Dynamics,M
Auto Modellista,PS2,2002,Racing,Capcom,Capcom,E
Turok: Evolution,GC,2002,Shooter,Acclaim Entertainment,Acclaim,M
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Strategy,Namco Bandai Games,,
Ice Age,GBA,2002,Action,Ubisoft,Artificial Mind and Movement,E
Headhunter,PS2,2002,Action,Sega,Amuze,M
Grandia Xtreme,PS2,2002,Role-Playing,Enix Corporation,Game Arts,T
Hunter: The Reckoning,XB,2002,Action,Interplay,High Voltage Software,M
NBA Inside Drive 2002,XB,2002,Sports,Microsoft Game Studios,High Voltage Software,E
High Heat Major League Baseball 2003,PS2,2002,Sports,3DO,3DO,E
Pac-Man World 2,GC,2002,Action,Nintendo,Namco,E
Kamaitachi no Yoru 2,PS2,2002,Adventure,ChunSoft,,
Hamtaro: Ham-Ham Heartbreak,GBA,2002,Action,Nintendo,Pax Softonica,E
Hamster Club 3,GBA,2002,Simulation,Jorudan,,
Harry Potter and the Chamber of Secrets,XB,2002,Action,Electronic Arts,Eurocom Entertainment Software,E
Disney's Tarzan: Return to the Jungle,GBA,2002,Action,Activision,Digital Eclipse,E
Guilty Gear X2,PS2,2002,Fighting,Sammy Corporation,Arc System Works,T
Rugrats: Royal Ransom,PS2,2002,Platform,THQ,Avalanche Software,E
The Wild Thornberrys Movie,GBA,2002,Platform,THQ,Human Soft,E
Driver 2 Advance,GBA,2002,Action,Atari,Sennari Interactive,T
Spy Hunter,XB,2002,Racing,Midway Games,Point of View,T
Disney's Treasure Planet,PS2,2002,Action,Sony Computer Entertainment,Bizarre Creations,E
Kelly Slater's Pro Surfer,PS2,2002,Sports,Activision,Treyarch,E
Legends of Wrestling II,PS2,2002,Fighting,Acclaim Entertainment,Acclaim,T
Clock Tower 3,PS2,2002,Adventure,Capcom,SunSoft,M
Dragon Quest Monsters 1·2,PS,2002,Role-Playing,Enix Corporation,,
Ultimate Fighting Championship: Throwdown,PS2,2002,Fighting,Ubisoft,Opus,T
NBA 2K3,XB,2002,Sports,Sega,Visual Concepts,E
Sega Smash Pack,GBA,2002,Misc,Atari,CodeFire,E
Shenmue II,XB,2002,Adventure,Microsoft Game Studios,Sega AM2,T
NBA Inside Drive 2003,XB,2002,Sports,Microsoft Game Studios,High Voltage Software,E
Mega Man Battle Network 2,GBA,2002,Action,Ubisoft,Capcom,E
NASCAR Thunder 2003,GC,2002,Racing,Electronic Arts,EA Sports,E
Star Wars Racer Revenge,PS2,2002,Racing,LucasArts,Rainbow Studios,E
Blade II,PS2,2002,Action,Activision,Mucky Foot Productions,M
Bruce Lee: Quest of the Dragon,XB,2002,Fighting,Universal Interactive,Ronin Entertainment,T
Disney's Stitch: Experiment 626,PS2,2002,Action,Sony Computer Entertainment,High Voltage Software,E
Shrek Swamp Kart Speedway,GBA,2002,Racing,TDK Mediactive,Prolific,E
Burnout,GC,2002,Racing,Acclaim Entertainment,Criterion Games,E
Romance of the Three Kingdoms VIII,PS2,2002,Strategy,Tecmo Koei,Koei,E
Spirit: Stallion of the Cimarron,GBA,2002,Platform,THQ,Hyperspace Cowgirls,E
Scooby-Doo! Night of 100 Frights,GC,2002,Platform,THQ,,
Grandia II,PS2,2002,Role-Playing,Ubisoft,Game Arts,T
Power Pro Kun Pocket 4,GBA,2002,Sports,Konami Digital Entertainment,,
Outlaw Golf,XB,2002,Sports,TDK Mediactive,Simon & Schuster,T
Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002,Adventure,505 Games,Banpresto,T
From TV Animation One Piece: Treasure Battle!,GC,2002,Fighting,Namco Bandai Games,,
Shrek Super Party,PS2,2002,Misc,TDK Mediactive,Mass Media,E
Dynasty Tactics,PS2,2002,Strategy,Tecmo Koei,Koei,T
Street Hoops,XB,2002,Sports,Activision,Black Ops Entertainment,T
Arcade Hits: Frisky Tom,PS,2002,Action,Hamster Corporation,,
Godzilla: Domination!,GBA,2002,Fighting,Atari,,
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002,Misc,Sammy Corporation,,
Rocket Power: Beach Bandits,GBA,2002,Platform,THQ,,
MX SuperFly featuring Ricky Carmichael,PS2,2002,Racing,THQ,,
Disney's Treasure Planet,GBA,2002,Action,Ubisoft,Disney Interactive,E
NFL Blitz 20-02,PS2,2002,Sports,Midway Games,Midway,E
NHL Hitz 20-03,PS2,2002,Sports,Midway Games,Midway,E
Myst III: Exile,PS2,2002,Adventure,Ubisoft,Presto Studios,E
Motocross Maniacs Advance,GBA,2002,Racing,Konami Digital Entertainment,Konami,E
Pro Race Driver,PS2,2002,Racing,Codemasters,Codemasters,T
NickToons: Racing,GBA,2002,Racing,Infogrames,Crawfish Interactive,E
Ty the Tasmanian Tiger,GC,2002,Platform,Electronic Arts,Krome Studios,E
WWE Road to WrestleMania X8,GBA,2002,Fighting,THQ,Natsume,E
Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,2002,Role-Playing,Konami Digital Entertainment,,
NASCAR Thunder 2003,XB,2002,Racing,Electronic Arts,EA Sports,E
Reign of Fire,PS2,2002,Shooter,BAM! Entertainment,Kuju Entertainment,M
